;llama3-70b-8192;gemma2-9b-it;llama-3.1-70b-versatile
RELEVANT;0.9566666666666667;0.49333333333333335;0.9033333333333333
PARTLY_RELEVANT;0.03666666666666667;0.41333333333333333;0.09666666666666666
NON_RELEVANT;0.006666666666666667;0.0933333333333333335;
